,종목명,현재가,전일대비,등락률
0,케이웨더,"18,870","상승 11,870",+169.57%
1,아센디오,"1,508",상한가 348,+30.00%
2,하인크코리아,"1,786",상한가 412,+29.99%
3,앤씨앤,"2,060",상한가 475,+29.97%
4,다보링크,"2,850",상한가 655,+29.84%
5,베셀,705,상한가 162,+29.83%
6,가온칩스,"107,900","상승 23,000",+27.09%
7,아이비김영,"2,535",상승 485,+23.66%
8,빛샘전자,"6,330","상승 1,140",+21.97%
9,엔피디,"2,900",상승 510,+21.34%
10,피에스케이홀딩스,"41,700","상승 7,200",+20.87%
11,디딤이앤에프,592,상승 85,+16.77%
12,그린리소스,"31,900","상승 4,500",+16.42%
13,디어유,"37,650","상승 4,900",+14.96%
14,레이크머티리얼즈,"21,450","상승 2,670",+14.22%
