,종목명,현재가,전일대비,등락률
0,한투 블룸버그 인버스 2X 천연가스선물 ETN,"81,985","하락 -12,475",-13.21%
1,신한 블룸버그 -2X 천연가스 선물 ETN(H),"88,350","하락 -13,360",-13.14%
2,KB 블룸버그 인버스2X 천연가스선물 ETN(H),"88,195","하락 -13,265",-13.07%
3,삼성 인버스 2X 천연가스 선물 ETN C,"88,740","하락 -13,260",-13.00%
4,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),"88,840","하락 -13,065",-12.82%
5,아이티센,"10,080","하락 -1,420",-12.35%
6,덕산테코피아,"26,150","하락 -3,600",-12.10%
7,휴림네트웍스,799,하락 -105,-11.62%
8,광무,"4,375",하락 -565,-11.44%
9,카나리아바이오,"1,132",하락 -134,-10.58%
10,성창기업지주,"2,075",하락 -245,-10.56%
11,네오펙트,"1,228",하락 -133,-9.77%
12,SG세계물산,464,하락 -46,-9.02%
13,휴림에이텍,"1,120",하락 -110,-8.94%
14,링크제니시스,"7,570",하락 -680,-8.24%
