"학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"ICT폴리텍대학","사립","경기","462312000","280892000","0","181420000","101728000","33524000","68204000","0","0","0","0","564040000"
"가야대학교(김해)","사립","경남","4752931433","4701192873","5438560","46300000","2034070722","592548990","835240270","117497462","0","14248000","474536000","6787002155"
"가천대학교","사립","경기","40024949259","38565866879","97550440","1361531940","27726101831","6279840000","7994354780","1445094011","5000000","159614000","11842199040","67751051090"
"가톨릭관동대학교","사립","강원","18657900192","17562903302","430489570","664507320","6033026062","2045134790","405631500","236506774","0","139239500","3206513498","24690926254"
"가톨릭꽃동네대학교","사립","충북","1653654391","1572115751","2330640","79208000","593521770","96244000","207192000","125041136","0","3309000","161735634","2247176161"
"가톨릭대학교","사립","경기","16603393756","15553160356","86756476","963476924","9737049658","3885018100","2822671300","574840354","0","33988000","2420531904","26340443414"
"가톨릭상지대학교","사립","경북","5197958760","5125293760","0","72665000","1667728325","217243000","36334000","22122546","0","22014000","1370014779","6865687085"
"감리교신학대학교","사립","서울","2490615439","2222984708","20500000","247130731","390906512","230396800","56157000","47354712","0","6304000","50694000","2881521951"
"강남대학교","사립","경기","15335987766","15180780166","6390600","148817000","6919262264","2261507500","2934517840","298030334","0","58824000","1366382590","22255250030"
"강동대학교","사립","충북","9134998036","9016787166","40880870","77330000","2597966479","232470500","558817000","47429122","1200000","77900000","1680149857","11732964515"
"강릉영동대학교","사립","강원","6835752064","6566183864","174876700","94691500","1564514916","369362700","2893480","29593426","0","36915670","1125749640","8400266980"
"강릉원주대학교","국공립","강원","16454497140","15808507400","181444580","464545160","5854246610","2833921270","1030068030","507173000","0","0","1483084310","22308743750"
"강서대학교","사립","서울","3328486832","3174770332","42225000","111491500","1855000000","262636700","573694815","238507502","0","43939500","736221483","5183486832"
